dimension,metric,checked_object,total_checked,issue_count,score,severity,details,recommendation
Completeness,core_required_fields_missing,reconciled.app_snapshot,10840,0,1.0000,GREEN,Core fields should be present for each loaded app snapshot. Rating and size are excluded because missing values are analytically meaningful.,Investigate rows with missing core fields before loading the DW fact table.
Completeness,rating_missing,reconciled.app_snapshot.rating,10840,1474,0.8640,YELLOW,Rating can be missing in the source dataset. It should not be blindly imputed because it is an analytical measure.,Preserve NULL rating and create rating_missing_flag during cleaning.
Completeness,size_missing_or_varies_with_device,reconciled.app_snapshot.size_bytes,10840,1695,0.8436,YELLOW,"Size is NULL when the raw value is missing or equal to ""Varies with device"". This is meaningful source information.",Preserve NULL size and create size_missing_or_varies_flag during cleaning.
Completeness,app_type_missing,reconciled.app_snapshot.app_type_id,10840,1,0.9999,GREEN,App type should usually be Free or Paid. Missing type should be flagged instead of guessed.,Create app_type_missing_flag. Do not infer Free/Paid unless a documented business rule is approved.
Completeness,current_version_missing,reconciled.app_snapshot.current_version,10840,8,0.9993,GREEN,Current version is descriptive metadata and may be missing for some apps.,Preserve missing value and optionally flag it for metadata-quality analysis.
Completeness,android_version_missing,reconciled.app_snapshot.android_version_text,10840,2,0.9998,GREEN,Android version is descriptive metadata and may be missing or vary across devices.,Preserve missing value and optionally flag it for metadata-quality analysis.
Uniqueness,duplicate_raw_id_in_app_snapshot,reconciled.app_snapshot.raw_id,10840,0,1.0000,GREEN,Each raw row should generate at most one reconciled app snapshot.,"If duplicates exist, inspect ETL joins and source row identifiers."
Uniqueness,duplicate_app_name_norm,reconciled.app.app_name_norm,9638,0,1.0000,GREEN,Normalized app names should be unique in the app master table.,"If duplicates exist, improve normalization rules."
Uniqueness,duplicate_snapshot_genre_pair,"reconciled.app_snapshot_genre(snapshot_id, genre_id)",11288,0,1.0000,GREEN,Each snapshot-genre pair should appear only once.,"If duplicates exist, deduplicate the bridge table before DW loading."
Validity,rating_out_of_range,reconciled.app_snapshot.rating,10840,0,1.0000,GREEN,Rating must be between 0 and 5.,Invalid ratings should be set to NULL and logged during cleaning.
Validity,negative_reviews_count,reconciled.app_snapshot.reviews_count,10840,0,1.0000,GREEN,Review count cannot be negative.,Invalid review counts should be investigated and nullified if needed.
Validity,negative_installs_count,reconciled.app_snapshot.installs_count,10840,0,1.0000,GREEN,Install count cannot be negative.,Invalid install counts should be investigated and nullified if needed.
Validity,negative_price_usd,reconciled.app_snapshot.price_usd,10840,0,1.0000,GREEN,Price cannot be negative.,Invalid prices should be set to NULL or corrected from source if possible.
Validity,negative_size_bytes,reconciled.app_snapshot.size_bytes,10840,0,1.0000,GREEN,Application size in bytes cannot be negative.,Invalid sizes should be set to NULL and logged.
Validity,invalid_domain_values_after_load,reconciled domain tables,41,0,1.0000,GREEN,Domain tables should not contain shifted row values or textual null markers.,"If issues exist, fix domain-load filters and rerun the reconciled load."
Consistency,type_price_conflict,reconciled.app_snapshot + reconciled.app_type,10840,0,1.0000,GREEN,Free apps should have price 0. Paid apps should usually have price greater than 0.,Rows with Type/Price conflicts should be flagged and inspected.
Consistency,snapshot_without_genre,reconciled.app_snapshot vs reconciled.app_snapshot_genre,10840,0,1.0000,GREEN,Each snapshot should have at least one genre according to the source dataset.,"If missing, inspect raw Genres and bridge ETL."
Consistency,orphan_snapshot_genre_rows,reconciled.app_snapshot_genre foreign-key consistency,11288,0,1.0000,GREEN,Bridge rows must reference existing snapshots and existing genres.,Orphan bridge rows must be removed before DW loading.
Timeliness,future_last_updated_date,reconciled.app_snapshot.last_updated_date,10840,0,1.0000,GREEN,Last updated date should not be in the future.,"Future dates should be corrected if source evidence exists, otherwise nullified and logged."
Timeliness,last_updated_date_missing,reconciled.app_snapshot.last_updated_date,10840,0,1.0000,GREEN,Last updated date supports the time dimension and should be present.,Missing update dates must be investigated before DW loading.
Accuracy,external_ground_truth_not_available,Google Play Store source values,null,null,null,INFO,Accuracy cannot be fully verified without an external trusted source such as current Google Play Store metadata.,"Document this limitation. Use validity, consistency, and outlier checks as internal proxies only."