last_updated_date_key,full_date,day,month,quarter,year,month_name,inserted_at
1,2010-05-21,21,5,2,2010,May,2026-05-09 20:49:58.217644+00
2,2011-01-30,30,1,1,2011,January,2026-05-09 20:49:58.217644+00
3,2011-03-16,16,3,1,2011,March,2026-05-09 20:49:58.217644+00
4,2011-04-11,11,4,2,2011,April,2026-05-09 20:49:58.217644+00
5,2011-04-16,16,4,2,2011,April,2026-05-09 20:49:58.217644+00
6,2011-04-18,18,4,2,2011,April,2026-05-09 20:49:58.217644+00
7,2011-05-12,12,5,2,2011,May,2026-05-09 20:49:58.217644+00
8,2011-06-23,23,6,2,2011,June,2026-05-09 20:49:58.217644+00
9,2011-06-26,26,6,2,2011,June,2026-05-09 20:49:58.217644+00
10,2011-06-29,29,6,2,2011,June,2026-05-09 20:49:58.217644+00
11,2011-07-10,10,7,3,2011,July,2026-05-09 20:49:58.217644+00
12,2011-09-20,20,9,3,2011,September,2026-05-09 20:49:58.217644+00
13,2011-09-22,22,9,3,2011,September,2026-05-09 20:49:58.217644+00
14,2011-10-12,12,10,4,2011,October,2026-05-09 20:49:58.217644+00
15,2011-12-01,1,12,4,2011,December,2026-05-09 20:49:58.217644+00
16,2011-12-03,3,12,4,2011,December,2026-05-09 20:49:58.217644+00
17,2012-01-12,12,1,1,2012,January,2026-05-09 20:49:58.217644+00
18,2012-01-17,17,1,1,2012,January,2026-05-09 20:49:58.217644+00
19,2012-01-18,18,1,1,2012,January,2026-05-09 20:49:58.217644+00
20,2012-02-06,6,2,1,2012,February,2026-05-09 20:49:58.217644+00
21,2012-02-08,8,2,1,2012,February,2026-05-09 20:49:58.217644+00
22,2012-02-27,27,2,1,2012,February,2026-05-09 20:49:58.217644+00
23,2012-04-09,9,4,2,2012,April,2026-05-09 20:49:58.217644+00
24,2012-06-01,1,6,2,2012,June,2026-05-09 20:49:58.217644+00
25,2012-06-17,17,6,2,2012,June,2026-05-09 20:49:58.217644+00
26,2012-06-19,19,6,2,2012,June,2026-05-09 20:49:58.217644+00
27,2012-06-27,27,6,2,2012,June,2026-05-09 20:49:58.217644+00
28,2012-07-20,20,7,3,2012,July,2026-05-09 20:49:58.217644+00
29,2012-07-30,30,7,3,2012,July,2026-05-09 20:49:58.217644+00
30,2012-08-17,17,8,3,2012,August,2026-05-09 20:49:58.217644+00
31,2012-08-18,18,8,3,2012,August,2026-05-09 20:49:58.217644+00
32,2012-08-24,24,8,3,2012,August,2026-05-09 20:49:58.217644+00
33,2012-09-19,19,9,3,2012,September,2026-05-09 20:49:58.217644+00
34,2012-09-27,27,9,3,2012,September,2026-05-09 20:49:58.217644+00
35,2012-10-08,8,10,4,2012,October,2026-05-09 20:49:58.217644+00
36,2012-11-08,8,11,4,2012,November,2026-05-09 20:49:58.217644+00
37,2012-11-11,11,11,4,2012,November,2026-05-09 20:49:58.217644+00
38,2012-11-22,22,11,4,2012,November,2026-05-09 20:49:58.217644+00
39,2012-11-26,26,11,4,2012,November,2026-05-09 20:49:58.217644+00
40,2012-11-28,28,11,4,2012,November,2026-05-09 20:49:58.217644+00
41,2012-12-19,19,12,4,2012,December,2026-05-09 20:49:58.217644+00
42,2013-01-25,25,1,1,2013,January,2026-05-09 20:49:58.217644+00
43,2013-02-03,3,2,1,2013,February,2026-05-09 20:49:58.217644+00
44,2013-02-10,10,2,1,2013,February,2026-05-09 20:49:58.217644+00
45,2013-02-11,11,2,1,2013,February,2026-05-09 20:49:58.217644+00
46,2013-02-12,12,2,1,2013,February,2026-05-09 20:49:58.217644+00
47,2013-02-15,15,2,1,2013,February,2026-05-09 20:49:58.217644+00
48,2013-02-18,18,2,1,2013,February,2026-05-09 20:49:58.217644+00
49,2013-02-22,22,2,1,2013,February,2026-05-09 20:49:58.217644+00
50,2013-03-06,6,3,1,2013,March,2026-05-09 20:49:58.217644+00
51,2013-04-05,5,4,2,2013,April,2026-05-09 20:49:58.217644+00
52,2013-04-10,10,4,2,2013,April,2026-05-09 20:49:58.217644+00
53,2013-04-22,22,4,2,2013,April,2026-05-09 20:49:58.217644+00
54,2013-04-25,25,4,2,2013,April,2026-05-09 20:49:58.217644+00
55,2013-05-02,2,5,2,2013,May,2026-05-09 20:49:58.217644+00
56,2013-05-06,6,5,2,2013,May,2026-05-09 20:49:58.217644+00
57,2013-05-09,9,5,2,2013,May,2026-05-09 20:49:58.217644+00
58,2013-05-14,14,5,2,2013,May,2026-05-09 20:49:58.217644+00
59,2013-05-18,18,5,2,2013,May,2026-05-09 20:49:58.217644+00
60,2013-05-21,21,5,2,2013,May,2026-05-09 20:49:58.217644+00
61,2013-05-22,22,5,2,2013,May,2026-05-09 20:49:58.217644+00
62,2013-05-25,25,5,2,2013,May,2026-05-09 20:49:58.217644+00
63,2013-06-02,2,6,2,2013,June,2026-05-09 20:49:58.217644+00
64,2013-06-04,4,6,2,2013,June,2026-05-09 20:49:58.217644+00
65,2013-06-05,5,6,2,2013,June,2026-05-09 20:49:58.217644+00
66,2013-06-12,12,6,2,2013,June,2026-05-09 20:49:58.217644+00
67,2013-06-15,15,6,2,2013,June,2026-05-09 20:49:58.217644+00
68,2013-06-25,25,6,2,2013,June,2026-05-09 20:49:58.217644+00
69,2013-06-26,26,6,2,2013,June,2026-05-09 20:49:58.217644+00
70,2013-07-01,1,7,3,2013,July,2026-05-09 20:49:58.217644+00
71,2013-07-03,3,7,3,2013,July,2026-05-09 20:49:58.217644+00
72,2013-07-17,17,7,3,2013,July,2026-05-09 20:49:58.217644+00
73,2013-07-18,18,7,3,2013,July,2026-05-09 20:49:58.217644+00
74,2013-07-20,20,7,3,2013,July,2026-05-09 20:49:58.217644+00
75,2013-07-26,26,7,3,2013,July,2026-05-09 20:49:58.217644+00
76,2013-07-27,27,7,3,2013,July,2026-05-09 20:49:58.217644+00
77,2013-07-31,31,7,3,2013,July,2026-05-09 20:49:58.217644+00
78,2013-08-01,1,8,3,2013,August,2026-05-09 20:49:58.217644+00
79,2013-08-07,7,8,3,2013,August,2026-05-09 20:49:58.217644+00
80,2013-08-08,8,8,3,2013,August,2026-05-09 20:49:58.217644+00
81,2013-08-09,9,8,3,2013,August,2026-05-09 20:49:58.217644+00
82,2013-08-10,10,8,3,2013,August,2026-05-09 20:49:58.217644+00
83,2013-08-14,14,8,3,2013,August,2026-05-09 20:49:58.217644+00
84,2013-08-15,15,8,3,2013,August,2026-05-09 20:49:58.217644+00
85,2013-08-16,16,8,3,2013,August,2026-05-09 20:49:58.217644+00
86,2013-08-17,17,8,3,2013,August,2026-05-09 20:49:58.217644+00
87,2013-08-19,19,8,3,2013,August,2026-05-09 20:49:58.217644+00
88,2013-08-22,22,8,3,2013,August,2026-05-09 20:49:58.217644+00
89,2013-08-26,26,8,3,2013,August,2026-05-09 20:49:58.217644+00
90,2013-08-27,27,8,3,2013,August,2026-05-09 20:49:58.217644+00
91,2013-08-30,30,8,3,2013,August,2026-05-09 20:49:58.217644+00
92,2013-08-31,31,8,3,2013,August,2026-05-09 20:49:58.217644+00
93,2013-09-04,4,9,3,2013,September,2026-05-09 20:49:58.217644+00
94,2013-09-05,5,9,3,2013,September,2026-05-09 20:49:58.217644+00
95,2013-09-08,8,9,3,2013,September,2026-05-09 20:49:58.217644+00
96,2013-09-11,11,9,3,2013,September,2026-05-09 20:49:58.217644+00
97,2013-09-13,13,9,3,2013,September,2026-05-09 20:49:58.217644+00
98,2013-09-16,16,9,3,2013,September,2026-05-09 20:49:58.217644+00
99,2013-09-19,19,9,3,2013,September,2026-05-09 20:49:58.217644+00
100,2013-09-23,23,9,3,2013,September,2026-05-09 20:49:58.217644+00
101,2013-09-24,24,9,3,2013,September,2026-05-09 20:49:58.217644+00
102,2013-09-25,25,9,3,2013,September,2026-05-09 20:49:58.217644+00
103,2013-09-27,27,9,3,2013,September,2026-05-09 20:49:58.217644+00
104,2013-09-28,28,9,3,2013,September,2026-05-09 20:49:58.217644+00
105,2013-09-30,30,9,3,2013,September,2026-05-09 20:49:58.217644+00
106,2013-10-01,1,10,4,2013,October,2026-05-09 20:49:58.217644+00
107,2013-10-04,4,10,4,2013,October,2026-05-09 20:49:58.217644+00
108,2013-10-07,7,10,4,2013,October,2026-05-09 20:49:58.217644+00
109,2013-10-11,11,10,4,2013,October,2026-05-09 20:49:58.217644+00
110,2013-10-22,22,10,4,2013,October,2026-05-09 20:49:58.217644+00
111,2013-10-28,28,10,4,2013,October,2026-05-09 20:49:58.217644+00
112,2013-11-01,1,11,4,2013,November,2026-05-09 20:49:58.217644+00
113,2013-11-05,5,11,4,2013,November,2026-05-09 20:49:58.217644+00
114,2013-11-12,12,11,4,2013,November,2026-05-09 20:49:58.217644+00
115,2013-11-13,13,11,4,2013,November,2026-05-09 20:49:58.217644+00
116,2013-11-18,18,11,4,2013,November,2026-05-09 20:49:58.217644+00
117,2013-11-20,20,11,4,2013,November,2026-05-09 20:49:58.217644+00
118,2013-11-22,22,11,4,2013,November,2026-05-09 20:49:58.217644+00
119,2013-11-25,25,11,4,2013,November,2026-05-09 20:49:58.217644+00
120,2013-12-02,2,12,4,2013,December,2026-05-09 20:49:58.217644+00
121,2013-12-05,5,12,4,2013,December,2026-05-09 20:49:58.217644+00
122,2013-12-12,12,12,4,2013,December,2026-05-09 20:49:58.217644+00
123,2013-12-13,13,12,4,2013,December,2026-05-09 20:49:58.217644+00
124,2013-12-17,17,12,4,2013,December,2026-05-09 20:49:58.217644+00
125,2013-12-18,18,12,4,2013,December,2026-05-09 20:49:58.217644+00
126,2013-12-19,19,12,4,2013,December,2026-05-09 20:49:58.217644+00
127,2013-12-23,23,12,4,2013,December,2026-05-09 20:49:58.217644+00
128,2013-12-26,26,12,4,2013,December,2026-05-09 20:49:58.217644+00
129,2014-01-08,8,1,1,2014,January,2026-05-09 20:49:58.217644+00
130,2014-01-11,11,1,1,2014,January,2026-05-09 20:49:58.217644+00
131,2014-01-13,13,1,1,2014,January,2026-05-09 20:49:58.217644+00
132,2014-01-15,15,1,1,2014,January,2026-05-09 20:49:58.217644+00
133,2014-01-17,17,1,1,2014,January,2026-05-09 20:49:58.217644+00
134,2014-01-19,19,1,1,2014,January,2026-05-09 20:49:58.217644+00
135,2014-01-20,20,1,1,2014,January,2026-05-09 20:49:58.217644+00
136,2014-01-21,21,1,1,2014,January,2026-05-09 20:49:58.217644+00
137,2014-01-22,22,1,1,2014,January,2026-05-09 20:49:58.217644+00
138,2014-01-23,23,1,1,2014,January,2026-05-09 20:49:58.217644+00
139,2014-01-24,24,1,1,2014,January,2026-05-09 20:49:58.217644+00
140,2014-01-28,28,1,1,2014,January,2026-05-09 20:49:58.217644+00
141,2014-02-02,2,2,1,2014,February,2026-05-09 20:49:58.217644+00
142,2014-02-05,5,2,1,2014,February,2026-05-09 20:49:58.217644+00
143,2014-02-06,6,2,1,2014,February,2026-05-09 20:49:58.217644+00
144,2014-02-11,11,2,1,2014,February,2026-05-09 20:49:58.217644+00
145,2014-02-12,12,2,1,2014,February,2026-05-09 20:49:58.217644+00
146,2014-02-13,13,2,1,2014,February,2026-05-09 20:49:58.217644+00
147,2014-02-16,16,2,1,2014,February,2026-05-09 20:49:58.217644+00
148,2014-02-17,17,2,1,2014,February,2026-05-09 20:49:58.217644+00
149,2014-02-18,18,2,1,2014,February,2026-05-09 20:49:58.217644+00
150,2014-02-21,21,2,1,2014,February,2026-05-09 20:49:58.217644+00
151,2014-02-22,22,2,1,2014,February,2026-05-09 20:49:58.217644+00
152,2014-02-23,23,2,1,2014,February,2026-05-09 20:49:58.217644+00
153,2014-02-26,26,2,1,2014,February,2026-05-09 20:49:58.217644+00
154,2014-03-03,3,3,1,2014,March,2026-05-09 20:49:58.217644+00
155,2014-03-05,5,3,1,2014,March,2026-05-09 20:49:58.217644+00
156,2014-03-06,6,3,1,2014,March,2026-05-09 20:49:58.217644+00
157,2014-03-07,7,3,1,2014,March,2026-05-09 20:49:58.217644+00
158,2014-03-09,9,3,1,2014,March,2026-05-09 20:49:58.217644+00
159,2014-03-11,11,3,1,2014,March,2026-05-09 20:49:58.217644+00
160,2014-03-13,13,3,1,2014,March,2026-05-09 20:49:58.217644+00
161,2014-03-20,20,3,1,2014,March,2026-05-09 20:49:58.217644+00
162,2014-03-23,23,3,1,2014,March,2026-05-09 20:49:58.217644+00
163,2014-03-25,25,3,1,2014,March,2026-05-09 20:49:58.217644+00
164,2014-04-04,4,4,2,2014,April,2026-05-09 20:49:58.217644+00
165,2014-04-10,10,4,2,2014,April,2026-05-09 20:49:58.217644+00
166,2014-04-11,11,4,2,2014,April,2026-05-09 20:49:58.217644+00
167,2014-04-13,13,4,2,2014,April,2026-05-09 20:49:58.217644+00
168,2014-04-17,17,4,2,2014,April,2026-05-09 20:49:58.217644+00
169,2014-04-22,22,4,2,2014,April,2026-05-09 20:49:58.217644+00
170,2014-04-23,23,4,2,2014,April,2026-05-09 20:49:58.217644+00
171,2014-04-25,25,4,2,2014,April,2026-05-09 20:49:58.217644+00
172,2014-04-30,30,4,2,2014,April,2026-05-09 20:49:58.217644+00
173,2014-05-01,1,5,2,2014,May,2026-05-09 20:49:58.217644+00
174,2014-05-03,3,5,2,2014,May,2026-05-09 20:49:58.217644+00
175,2014-05-06,6,5,2,2014,May,2026-05-09 20:49:58.217644+00
176,2014-05-14,14,5,2,2014,May,2026-05-09 20:49:58.217644+00
177,2014-05-16,16,5,2,2014,May,2026-05-09 20:49:58.217644+00
178,2014-05-18,18,5,2,2014,May,2026-05-09 20:49:58.217644+00
179,2014-05-19,19,5,2,2014,May,2026-05-09 20:49:58.217644+00
180,2014-05-20,20,5,2,2014,May,2026-05-09 20:49:58.217644+00
181,2014-05-24,24,5,2,2014,May,2026-05-09 20:49:58.217644+00
182,2014-05-26,26,5,2,2014,May,2026-05-09 20:49:58.217644+00
183,2014-06-03,3,6,2,2014,June,2026-05-09 20:49:58.217644+00
184,2014-06-05,5,6,2,2014,June,2026-05-09 20:49:58.217644+00
185,2014-06-06,6,6,2,2014,June,2026-05-09 20:49:58.217644+00
186,2014-06-09,9,6,2,2014,June,2026-05-09 20:49:58.217644+00
187,2014-06-13,13,6,2,2014,June,2026-05-09 20:49:58.217644+00
188,2014-06-17,17,6,2,2014,June,2026-05-09 20:49:58.217644+00
189,2014-06-24,24,6,2,2014,June,2026-05-09 20:49:58.217644+00
190,2014-06-30,30,6,2,2014,June,2026-05-09 20:49:58.217644+00
191,2014-07-01,1,7,3,2014,July,2026-05-09 20:49:58.217644+00
192,2014-07-02,2,7,3,2014,July,2026-05-09 20:49:58.217644+00
193,2014-07-03,3,7,3,2014,July,2026-05-09 20:49:58.217644+00
194,2014-07-04,4,7,3,2014,July,2026-05-09 20:49:58.217644+00
195,2014-07-06,6,7,3,2014,July,2026-05-09 20:49:58.217644+00
196,2014-07-09,9,7,3,2014,July,2026-05-09 20:49:58.217644+00
197,2014-07-10,10,7,3,2014,July,2026-05-09 20:49:58.217644+00
198,2014-07-11,11,7,3,2014,July,2026-05-09 20:49:58.217644+00
199,2014-07-12,12,7,3,2014,July,2026-05-09 20:49:58.217644+00
200,2014-07-18,18,7,3,2014,July,2026-05-09 20:49:58.217644+00
201,2014-07-23,23,7,3,2014,July,2026-05-09 20:49:58.217644+00
202,2014-07-26,26,7,3,2014,July,2026-05-09 20:49:58.217644+00
203,2014-07-28,28,7,3,2014,July,2026-05-09 20:49:58.217644+00
204,2014-07-30,30,7,3,2014,July,2026-05-09 20:49:58.217644+00
205,2014-07-31,31,7,3,2014,July,2026-05-09 20:49:58.217644+00
206,2014-08-02,2,8,3,2014,August,2026-05-09 20:49:58.217644+00
207,2014-08-04,4,8,3,2014,August,2026-05-09 20:49:58.217644+00
208,2014-08-05,5,8,3,2014,August,2026-05-09 20:49:58.217644+00
209,2014-08-07,7,8,3,2014,August,2026-05-09 20:49:58.217644+00
210,2014-08-09,9,8,3,2014,August,2026-05-09 20:49:58.217644+00
211,2014-08-11,11,8,3,2014,August,2026-05-09 20:49:58.217644+00
212,2014-08-12,12,8,3,2014,August,2026-05-09 20:49:58.217644+00
213,2014-08-17,17,8,3,2014,August,2026-05-09 20:49:58.217644+00
214,2014-08-19,19,8,3,2014,August,2026-05-09 20:49:58.217644+00
215,2014-08-21,21,8,3,2014,August,2026-05-09 20:49:58.217644+00
216,2014-08-25,25,8,3,2014,August,2026-05-09 20:49:58.217644+00
217,2014-08-26,26,8,3,2014,August,2026-05-09 20:49:58.217644+00
218,2014-08-27,27,8,3,2014,August,2026-05-09 20:49:58.217644+00
219,2014-08-28,28,8,3,2014,August,2026-05-09 20:49:58.217644+00
220,2014-08-30,30,8,3,2014,August,2026-05-09 20:49:58.217644+00
221,2014-09-06,6,9,3,2014,September,2026-05-09 20:49:58.217644+00
222,2014-09-10,10,9,3,2014,September,2026-05-09 20:49:58.217644+00
223,2014-09-12,12,9,3,2014,September,2026-05-09 20:49:58.217644+00
224,2014-09-16,16,9,3,2014,September,2026-05-09 20:49:58.217644+00
225,2014-09-20,20,9,3,2014,September,2026-05-09 20:49:58.217644+00
226,2014-09-22,22,9,3,2014,September,2026-05-09 20:49:58.217644+00
227,2014-09-30,30,9,3,2014,September,2026-05-09 20:49:58.217644+00
228,2014-10-02,2,10,4,2014,October,2026-05-09 20:49:58.217644+00
229,2014-10-06,6,10,4,2014,October,2026-05-09 20:49:58.217644+00
230,2014-10-07,7,10,4,2014,October,2026-05-09 20:49:58.217644+00
231,2014-10-10,10,10,4,2014,October,2026-05-09 20:49:58.217644+00
232,2014-10-11,11,10,4,2014,October,2026-05-09 20:49:58.217644+00
233,2014-10-16,16,10,4,2014,October,2026-05-09 20:49:58.217644+00
234,2014-10-17,17,10,4,2014,October,2026-05-09 20:49:58.217644+00
235,2014-10-18,18,10,4,2014,October,2026-05-09 20:49:58.217644+00
236,2014-10-22,22,10,4,2014,October,2026-05-09 20:49:58.217644+00
237,2014-10-25,25,10,4,2014,October,2026-05-09 20:49:58.217644+00
238,2014-10-28,28,10,4,2014,October,2026-05-09 20:49:58.217644+00
239,2014-10-29,29,10,4,2014,October,2026-05-09 20:49:58.217644+00
240,2014-10-30,30,10,4,2014,October,2026-05-09 20:49:58.217644+00
241,2014-11-03,3,11,4,2014,November,2026-05-09 20:49:58.217644+00
242,2014-11-04,4,11,4,2014,November,2026-05-09 20:49:58.217644+00
243,2014-11-05,5,11,4,2014,November,2026-05-09 20:49:58.217644+00
244,2014-11-06,6,11,4,2014,November,2026-05-09 20:49:58.217644+00
245,2014-11-09,9,11,4,2014,November,2026-05-09 20:49:58.217644+00
246,2014-11-10,10,11,4,2014,November,2026-05-09 20:49:58.217644+00
247,2014-11-12,12,11,4,2014,November,2026-05-09 20:49:58.217644+00
248,2014-11-13,13,11,4,2014,November,2026-05-09 20:49:58.217644+00
249,2014-11-14,14,11,4,2014,November,2026-05-09 20:49:58.217644+00
250,2014-11-15,15,11,4,2014,November,2026-05-09 20:49:58.217644+00
251,2014-11-20,20,11,4,2014,November,2026-05-09 20:49:58.217644+00
252,2014-11-21,21,11,4,2014,November,2026-05-09 20:49:58.217644+00
253,2014-11-25,25,11,4,2014,November,2026-05-09 20:49:58.217644+00
254,2014-11-26,26,11,4,2014,November,2026-05-09 20:49:58.217644+00
255,2014-11-27,27,11,4,2014,November,2026-05-09 20:49:58.217644+00
256,2014-11-30,30,11,4,2014,November,2026-05-09 20:49:58.217644+00
257,2014-12-02,2,12,4,2014,December,2026-05-09 20:49:58.217644+00
258,2014-12-03,3,12,4,2014,December,2026-05-09 20:49:58.217644+00
259,2014-12-04,4,12,4,2014,December,2026-05-09 20:49:58.217644+00
260,2014-12-06,6,12,4,2014,December,2026-05-09 20:49:58.217644+00
261,2014-12-09,9,12,4,2014,December,2026-05-09 20:49:58.217644+00
262,2014-12-13,13,12,4,2014,December,2026-05-09 20:49:58.217644+00
263,2014-12-15,15,12,4,2014,December,2026-05-09 20:49:58.217644+00
264,2014-12-17,17,12,4,2014,December,2026-05-09 20:49:58.217644+00
265,2014-12-18,18,12,4,2014,December,2026-05-09 20:49:58.217644+00
266,2014-12-22,22,12,4,2014,December,2026-05-09 20:49:58.217644+00
267,2014-12-26,26,12,4,2014,December,2026-05-09 20:49:58.217644+00
268,2014-12-29,29,12,4,2014,December,2026-05-09 20:49:58.217644+00
269,2014-12-31,31,12,4,2014,December,2026-05-09 20:49:58.217644+00
270,2015-01-01,1,1,1,2015,January,2026-05-09 20:49:58.217644+00
271,2015-01-07,7,1,1,2015,January,2026-05-09 20:49:58.217644+00
272,2015-01-08,8,1,1,2015,January,2026-05-09 20:49:58.217644+00
273,2015-01-09,9,1,1,2015,January,2026-05-09 20:49:58.217644+00
274,2015-01-11,11,1,1,2015,January,2026-05-09 20:49:58.217644+00
275,2015-01-13,13,1,1,2015,January,2026-05-09 20:49:58.217644+00
276,2015-01-14,14,1,1,2015,January,2026-05-09 20:49:58.217644+00
277,2015-01-15,15,1,1,2015,January,2026-05-09 20:49:58.217644+00
278,2015-01-18,18,1,1,2015,January,2026-05-09 20:49:58.217644+00
279,2015-01-19,19,1,1,2015,January,2026-05-09 20:49:58.217644+00
280,2015-01-20,20,1,1,2015,January,2026-05-09 20:49:58.217644+00
281,2015-01-22,22,1,1,2015,January,2026-05-09 20:49:58.217644+00
282,2015-01-25,25,1,1,2015,January,2026-05-09 20:49:58.217644+00
283,2015-01-26,26,1,1,2015,January,2026-05-09 20:49:58.217644+00
284,2015-01-30,30,1,1,2015,January,2026-05-09 20:49:58.217644+00
285,2015-01-31,31,1,1,2015,January,2026-05-09 20:49:58.217644+00
286,2015-02-02,2,2,1,2015,February,2026-05-09 20:49:58.217644+00
287,2015-02-03,3,2,1,2015,February,2026-05-09 20:49:58.217644+00
288,2015-02-05,5,2,1,2015,February,2026-05-09 20:49:58.217644+00
289,2015-02-10,10,2,1,2015,February,2026-05-09 20:49:58.217644+00
290,2015-02-11,11,2,1,2015,February,2026-05-09 20:49:58.217644+00
291,2015-02-12,12,2,1,2015,February,2026-05-09 20:49:58.217644+00
292,2015-02-13,13,2,1,2015,February,2026-05-09 20:49:58.217644+00
293,2015-02-14,14,2,1,2015,February,2026-05-09 20:49:58.217644+00
294,2015-02-15,15,2,1,2015,February,2026-05-09 20:49:58.217644+00
295,2015-02-18,18,2,1,2015,February,2026-05-09 20:49:58.217644+00
296,2015-02-20,20,2,1,2015,February,2026-05-09 20:49:58.217644+00
297,2015-02-23,23,2,1,2015,February,2026-05-09 20:49:58.217644+00
298,2015-02-25,25,2,1,2015,February,2026-05-09 20:49:58.217644+00
299,2015-02-27,27,2,1,2015,February,2026-05-09 20:49:58.217644+00
300,2015-03-04,4,3,1,2015,March,2026-05-09 20:49:58.217644+00
301,2015-03-05,5,3,1,2015,March,2026-05-09 20:49:58.217644+00
302,2015-03-06,6,3,1,2015,March,2026-05-09 20:49:58.217644+00
303,2015-03-08,8,3,1,2015,March,2026-05-09 20:49:58.217644+00
304,2015-03-09,9,3,1,2015,March,2026-05-09 20:49:58.217644+00
305,2015-03-10,10,3,1,2015,March,2026-05-09 20:49:58.217644+00
306,2015-03-11,11,3,1,2015,March,2026-05-09 20:49:58.217644+00
307,2015-03-12,12,3,1,2015,March,2026-05-09 20:49:58.217644+00
308,2015-03-13,13,3,1,2015,March,2026-05-09 20:49:58.217644+00
309,2015-03-14,14,3,1,2015,March,2026-05-09 20:49:58.217644+00
310,2015-03-16,16,3,1,2015,March,2026-05-09 20:49:58.217644+00
311,2015-03-17,17,3,1,2015,March,2026-05-09 20:49:58.217644+00
312,2015-03-20,20,3,1,2015,March,2026-05-09 20:49:58.217644+00
313,2015-03-21,21,3,1,2015,March,2026-05-09 20:49:58.217644+00
314,2015-03-22,22,3,1,2015,March,2026-05-09 20:49:58.217644+00
315,2015-03-25,25,3,1,2015,March,2026-05-09 20:49:58.217644+00
316,2015-03-26,26,3,1,2015,March,2026-05-09 20:49:58.217644+00
317,2015-03-27,27,3,1,2015,March,2026-05-09 20:49:58.217644+00
318,2015-03-29,29,3,1,2015,March,2026-05-09 20:49:58.217644+00
319,2015-03-30,30,3,1,2015,March,2026-05-09 20:49:58.217644+00
320,2015-03-31,31,3,1,2015,March,2026-05-09 20:49:58.217644+00
321,2015-04-02,2,4,2,2015,April,2026-05-09 20:49:58.217644+00
322,2015-04-03,3,4,2,2015,April,2026-05-09 20:49:58.217644+00
323,2015-04-07,7,4,2,2015,April,2026-05-09 20:49:58.217644+00
324,2015-04-10,10,4,2,2015,April,2026-05-09 20:49:58.217644+00
325,2015-04-14,14,4,2,2015,April,2026-05-09 20:49:58.217644+00
326,2015-04-15,15,4,2,2015,April,2026-05-09 20:49:58.217644+00
327,2015-04-20,20,4,2,2015,April,2026-05-09 20:49:58.217644+00
328,2015-04-23,23,4,2,2015,April,2026-05-09 20:49:58.217644+00
329,2015-04-24,24,4,2,2015,April,2026-05-09 20:49:58.217644+00
330,2015-04-26,26,4,2,2015,April,2026-05-09 20:49:58.217644+00
331,2015-04-29,29,4,2,2015,April,2026-05-09 20:49:58.217644+00
332,2015-05-01,1,5,2,2015,May,2026-05-09 20:49:58.217644+00
333,2015-05-02,2,5,2,2015,May,2026-05-09 20:49:58.217644+00
334,2015-05-04,4,5,2,2015,May,2026-05-09 20:49:58.217644+00
335,2015-05-06,6,5,2,2015,May,2026-05-09 20:49:58.217644+00
336,2015-05-08,8,5,2,2015,May,2026-05-09 20:49:58.217644+00
337,2015-05-10,10,5,2,2015,May,2026-05-09 20:49:58.217644+00
338,2015-05-11,11,5,2,2015,May,2026-05-09 20:49:58.217644+00
339,2015-05-13,13,5,2,2015,May,2026-05-09 20:49:58.217644+00
340,2015-05-14,14,5,2,2015,May,2026-05-09 20:49:58.217644+00
341,2015-05-15,15,5,2,2015,May,2026-05-09 20:49:58.217644+00
342,2015-05-16,16,5,2,2015,May,2026-05-09 20:49:58.217644+00
343,2015-05-19,19,5,2,2015,May,2026-05-09 20:49:58.217644+00
344,2015-05-21,21,5,2,2015,May,2026-05-09 20:49:58.217644+00
345,2015-05-24,24,5,2,2015,May,2026-05-09 20:49:58.217644+00
